ds,trend,yearly
1981-01-01,11.917726387,3.558690853102453
1981-01-02,11.91575795341233,3.623757730355946
1981-01-03,11.913789519824658,3.6849661043639057
1981-01-04,11.911821086236987,3.7415170794248924
1981-01-05,11.909852652649315,3.7926963026878293
1981-01-06,11.907884219061645,3.837896199575246
1981-01-07,11.905915785473972,3.876635542452635
1981-01-08,11.903947351886302,3.9085757370790155
1981-01-09,11.90197891829863,3.9335333006842137
1981-01-10,11.90001048471096,3.951488111117531
1981-01-11,11.898042051123287,3.9625871254041716
1981-01-12,11.896073617535617,3.967143394826901
1981-01-13,11.894105183947945,3.965630338612783
1981-01-14,11.892136750360274,3.9586713755400678
1981-01-15,11.890168316772602,3.9470251482919467
1981-01-16,11.888199883184932,3.9315667052120107
1981-01-17,11.88623144959726,3.9132651244375154
1981-01-18,11.884263016009589,3.8931581726500606
1981-01-19,11.882294582421917,3.872324681686862
1981-01-20,11.880326148834246,3.8518553982660366
1981-01-21,11.878357715246574,3.8328231128988026
1981-01-22,11.876389281658904,3.8162529020918354
1981-01-23,11.874420848071232,3.8030933222504313
1981-01-24,11.872452414483561,3.794189374014874
1981-01-25,11.870483980895889,3.7902580125349763
1981-01-26,11.868515547308219,3.791866913527864
1981-01-27,11.866547113720546,3.799417118638245
1981-01-28,11.864578680132876,3.8131300789990212
1981-01-29,11.862610246545204,3.833039495879585
1981-01-30,11.860641812957534,3.858988225265465
1981-01-31,11.858673379369863,3.8906303728559197
1981-02-01,11.856704945782191,3.9274385612576337
1981-02-02,11.85473651219452,3.9687162062006665
1981-02-03,11.852768078606848,4.013614497532074
1981-02-04,11.850799645019178,4.061153647571451
1981-02-05,11.848831211431508,4.1102478479626505
1981-02-06,11.846862777843835,4.159733269900601
1981-02-07,11.844894344256165,4.208398354621185
1981-02-08,11.842925910668493,4.255015573858574
1981-02-09,11.840957477080822,4.298373795557305
1981-02-10,11.838989043493152,4.33731036979376
1981-02-11,11.83702060990548,4.370742054243783
1981-02-12,11.83505217631781,4.397693927562636
1981-02-13,11.833083742730137,4.4173254919509475
1981-02-14,11.831115309142467,4.4289532415187765
1981-02-15,11.829146875554795,4.4320690687430995
1981-02-16,11.827178441967124,4.4263539946802215
1981-02-17,11.825210008379452,4.4116868364745745
1981-02-18,11.823241574791782,4.3881475645232815
1981-02-19,11.82127314120411,4.356015247520518
1981-02-20,11.819304707616439,4.315760632428882
1981-02-21,11.817336274028767,4.268033554034922
1981-02-22,11.815367840441096,4.2136455110072735
1981-02-23,11.813399406853424,4.153547878302839
1981-02-24,11.811430973265754,4.088806345648263
1981-02-25,11.809462539678082,4.020572275309226
1981-02-26,11.807494106090411,3.9500517565777113
1981-02-27,11.805525672502739,3.8784731970215782
1981-02-28,11.803557238915069,3.8070543298365567
1981-03-01,11.801588805327397,3.73696953156198
1981-03-02,11.799620371739726,3.6693183345944487
1981-03-03,11.797651938152054,3.6050959846977597
1981-03-04,11.795683504564384,3.545166836067939
1981-03-05,11.793715070976711,3.490241297151512
1981-03-06,11.791746637389041,3.440856941609243
1981-03-07,11.78977820380137,3.3973642833829434
1981-03-08,11.787809770213698,3.3599175860463286
1981-03-09,11.785841336626028,3.3284709381346427
1981-03-10,11.783872903038356,3.3027796818594477
1981-03-11,11.781904469450685,3.2824071365716105
1981-03-12,11.779936035863013,3.266736414611895
1981-03-13,11.777967602275343,3.2549869897879895
1981-03-14,11.77599916868767,3.2462355514280294
1981-03-15,11.7740307351,3.239440563283321
1981-03-16,11.772062301512328,3.2334698495738956
1981-03-17,11.770093867924658,3.2271304527906124
1981-03-18,11.768125434336985,3.2191999515340077
1981-03-19,11.766157000749315,3.2084583931035393
1981-03-20,11.764188567161643,3.1937199855324394
1981-03-21,11.762220133573972,3.173863707396007
1981-03-22,11.7602516999863,3.1478620304393075
1981-03-23,11.75828326639863,3.114807008666525
1981-03-24,11.756314832810958,3.0739330661813287
1981-03-25,11.754346399223287,3.0246359123920596
1981-03-26,11.752377965635615,2.966487124340876
1981-03-27,11.750409532047945,2.8992440586243946
1981-03-28,11.748441098460273,2.822854886094147
1981-03-29,11.746472664872602,2.7374586775046836
1981-03-30,11.744504231284932,2.6433806036735894
1981-03-31,11.74253579769726,2.541122445728185
1981-04-01,11.74056736410959,2.431348735934833
1981-04-02,11.738598930521917,2.3148689640199724
1981-04-03,11.736630496934247,2.1926163846670903
1981-04-04,11.734662063346576,2.065624046330822
1981-04-05,11.732693629631756,1.9349987274625138
1981-04-06,11.730725195916936,1.8018935120388428
1981-04-07,11.728756762202114,1.6674797608964709
1981-04-08,11.726788328487293,1.532919238378904
1981-04-09,11.724819894772475,1.3993371353952198
1981-04-10,11.722851461057653,1.2677966910113838
1981-04-11,11.720883027342833,1.1392760565351532
1981-04-12,11.718914593628012,1.0146479706702767
1981-04-13,11.716946159913192,0.8946627241284248
1981-04-14,11.714977726198372,0.779934789907539
1981-04-15,11.713009292483552,0.6709333844264687
1981-04-16,11.711040858768731,0.5679771081861795
1981-04-17,11.709072425053911,0.47123269608701523
1981-04-18,11.70710399133909,0.3807177904570141
1981-04-19,11.70513555762427,0.2963075376226998
1981-04-20,11.70316712390945,0.21774470470646826
1981-04-21,11.70119869019463,0.14465292017129447
1981-04-22,11.69923025647981,0.07655256203369945
1981-04-23,11.697261822764988,0.01287875373879323
1981-04-24,11.695293389050168,-0.04699911892411348
1981-04-25,11.693324955335349,-0.10375698470270729
1981-04-26,11.691356521620527,-0.15809538169471357
1981-04-27,11.689388087905707,-0.2107190846453587
1981-04-28,11.687419654190887,-0.26231765144885266
1981-04-29,11.685451220476068,-0.31354743064144397
1981-04-30,11.683482786761246,-0.3650155113030445
1981-05-01,11.681514353046426,-0.4172660230879565
1981-05-02,11.679545919331606,-0.4707691095557631
1981-05-03,11.677577485616785,-0.5259128053616695
1981-05-04,11.675609051901965,-0.5829979501746048
1981-05-05,11.673640618187145,-0.6422361725295465
1981-05-06,11.671672184472323,-0.7037508783185482
1981-05-07,11.669703750757504,-0.7675810843258855
1981-05-08,11.667735317042684,-0.8336878500069569
1981-05-09,11.665766883327862,-0.9019629832190372
1981-05-10,11.663798449613042,-0.9722396301266298
1981-05-11,11.661830015898223,-1.0443043079204553
1981-05-12,11.659861582183401,-1.1179099027300141
1981-05-13,11.657893148468581,-1.1927891351235005
1981-05-14,11.65592471475376,-1.2686679922749506
1981-05-15,11.653956281038942,-1.3452786391329485
1981-05-16,11.65198784732412,-1.4223713500980575
1981-05-17,11.6500194136093,-1.4997250466730472
1981-05-18,11.64805097989448,-1.5771560836911918
1981-05-19,11.64608254617966,-1.6545249950503955
1981-05-20,11.64411411246484,-1.7317409870362905
1981-05-21,11.642145678750019,-1.8087640507007443
1981-05-22,11.640177245035197,-1.8856046515784297
1981-05-23,11.638208811320379,-1.962321042394024
1981-05-24,11.636240377605558,-2.0390143294582157
1981-05-25,11.634271943890736,-2.115821503366352
1981-05-26,11.632303510175916,-2.192906716811875
1981-05-27,11.630335076461098,-2.27045115443056
1981-05-28,11.628366642746277,-2.348641889603933
