Date,observed,trend,seasonal,resid
1981-01-01,20.7,,5.165980321511228,
1981-01-02,17.9,,3.082373015575155,
1981-01-03,18.8,,3.0711705802631313,
1981-01-04,14.6,,2.415523700506662,
1981-01-05,15.8,,3.1934232438856567,
1981-01-06,15.8,,3.359267992744105,
1981-01-07,15.8,,2.649344096244865,
1981-01-08,17.4,,3.205873776610162,
1981-01-09,21.8,,3.4375023915264484,
1981-01-10,20.0,,2.858689606138321,
1981-01-11,16.2,,3.757593715727361,
1981-01-12,13.3,,4.23558458330727,
1981-01-13,16.7,,4.169526744646691,
1981-01-14,21.5,,4.269404979045475,
1981-01-15,25.0,,4.690622635057652,
1981-01-16,20.7,,4.59013557265278,
1981-01-17,20.6,,4.366025983611684,
1981-01-18,24.8,,3.0655084798065095,
1981-01-19,17.7,,2.9651736244031612,
1981-01-20,15.5,,3.600089910552324,
1981-01-21,18.2,,3.766969667021122,
1981-01-22,12.1,,3.244503913596464,
1981-01-23,14.4,,2.911231463063739,
1981-01-24,16.0,,3.5332101540835272,
1981-01-25,16.5,,2.821611980567544,
1981-01-26,18.7,,3.2433775817852006,
1981-01-27,19.4,,2.410500869456433,
1981-01-28,17.2,,3.2765587081170118,
1981-01-29,15.5,,4.086513046016555,
1981-01-30,15.1,,4.785082300202248,
1981-01-31,15.4,,4.929435420445778,
1981-02-01,15.3,,4.485812893809554,
1981-02-02,18.8,,3.808704826838473,
1981-02-03,21.9,,2.397654598527972,
1981-02-04,19.9,,2.7422512499739375,
1981-02-05,16.6,,3.508400412835429,
1981-02-06,16.8,,3.384930093200725,
1981-02-07,14.6,,5.040181234753236,
1981-02-08,17.1,,4.128857033839994,
1981-02-09,25.0,,4.3278220262296445,
1981-02-10,15.0,,3.9045343549967675,
1981-02-11,13.7,,3.881916394570589,
1981-02-12,13.9,,3.7823730155751543,
1981-02-13,18.3,,3.682525222576676,
1981-02-14,22.0,,4.3827687537791125,
1981-02-15,22.1,,6.005295390004378,
1981-02-16,21.2,,5.561490214966326,
1981-02-17,18.4,,5.339207109943496,
1981-02-18,16.6,,4.139907262150496,
1981-02-19,16.1,,4.208035116031775,
1981-02-20,15.7,,4.2409118283605425,
1981-02-21,16.6,,4.740363883155062,
1981-02-22,16.5,,3.9829818435812436,
1981-02-23,14.4,,4.3609118283605435,
1981-02-24,14.4,,3.2158585559100104,
1981-02-25,18.5,,2.5156759075081836,
1981-02-26,16.9,,2.937471950126144,
1981-02-27,17.5,,3.6144886928963116,
1981-02-28,21.2,,3.3385373991367984,
1981-03-01,17.8,,3.871748966868915,
1981-03-02,18.6,,5.325660686808031,
1981-03-03,17.0,,3.6477002606284277,
1981-03-04,16.0,,4.748430854235733,
1981-03-05,13.3,,5.271809849669523,
1981-03-06,14.3,,4.938506957736495,
1981-03-07,11.4,,6.216254294113967,
1981-03-08,16.3,,4.927334963824774,
1981-03-09,16.1,,2.9275784950272095,
1981-03-10,11.8,,2.095554141906966,
1981-03-11,12.2,,3.152388236275307,
1981-03-12,14.7,,4.253849423489919,
1981-03-13,11.8,,3.2782025437334497,
1981-03-14,11.3,,2.911414111465565,
1981-03-15,10.6,,2.9326926502783515,
1981-03-16,11.7,,3.86441258939555,
1981-03-17,14.2,,3.042525222576677,
1981-03-18,11.2,,3.4112923458643483,
1981-03-19,16.9,,3.000363883155064,
1981-03-20,16.7,,3.8912314630637392,
1981-03-21,8.1,,4.4933014782844385,
1981-03-22,8.0,,4.493057947082004,
1981-03-23,8.8,,4.237319743124621,
1981-03-24,13.4,,4.200942269760846,
1981-03-25,10.9,,3.645660686808032,
1981-03-26,13.4,,2.45689356352036,
1981-03-27,11.0,,2.735401934905443,
1981-03-28,15.0,,1.9020990429724147,
1981-03-29,15.7,,2.2884004128354283,
1981-03-30,14.5,,2.5550061967014868,
1981-03-31,15.8,,2.1237428785888537,
1981-04-01,16.7,,1.735249727903922,
1981-04-02,16.8,,1.8464217218156411,
1981-04-03,17.5,,0.9918402910698271,
1981-04-04,17.1,,2.1132405954838296,
1981-04-05,18.1,,2.0230427263818513,
